asset_id,time_gap,count,total_gaps,n_gaps_gt_5m,pct_gaps_gt_5m,pct_of_gaps,time_gap_minutes
AAPL,0 days 00:05:00,1908,1918,10,0.005213764337851929,0.9947862356621481,5.0
AAPL,0 days 08:05:00,7,1918,10,0.005213764337851929,0.0036496350364963502,485.0
AAPL,2 days 08:05:00,2,1918,10,0.005213764337851929,0.0010427528675703858,3365.0
AAPL,0 days 00:10:00,1,1918,10,0.005213764337851929,0.0005213764337851929,10.0
BTCUSD,0 days 00:05:00,1998,1999,1,0.0005002501250625312,0.9994997498749375,5.0
BTCUSD,0 days 01:05:00,1,1999,1,0.0005002501250625312,0.0005002501250625312,65.0
ETHUSD,0 days 00:05:00,1998,1999,1,0.0005002501250625312,0.9994997498749375,5.0
ETHUSD,0 days 01:05:00,1,1999,1,0.0005002501250625312,0.0005002501250625312,65.0
EURUSD,0 days 00:05:00,1998,1999,1,0.0005002501250625312,0.9994997498749375,5.0
EURUSD,2 days 00:10:00,1,1999,1,0.0005002501250625312,0.0005002501250625312,2890.0
GOOG,0 days 00:05:00,1910,1919,9,0.004689942678478374,0.9953100573215217,5.0
GOOG,0 days 08:05:00,7,1919,9,0.004689942678478374,0.0036477331943720686,485.0
GOOG,2 days 08:05:00,2,1919,9,0.004689942678478374,0.0010422094841063053,3365.0
MC.PA,0 days 00:05:00,1980,1999,19,0.009504752376188095,0.9904952476238119,5.0
MC.PA,0 days 15:35:00,15,1999,19,0.009504752376188095,0.007503751875937969,935.0
MC.PA,2 days 15:35:00,4,1999,19,0.009504752376188095,0.002001000500250125,3815.0
NVDA,0 days 00:05:00,1910,1919,9,0.004689942678478374,0.9953100573215217,5.0
NVDA,0 days 08:05:00,7,1919,9,0.004689942678478374,0.0036477331943720686,485.0
NVDA,2 days 08:05:00,2,1919,9,0.004689942678478374,0.0010422094841063053,3365.0
SOLUSD,0 days 00:05:00,1998,1999,1,0.0005002501250625312,0.9994997498749375,5.0
SOLUSD,0 days 01:05:00,1,1999,1,0.0005002501250625312,0.0005002501250625312,65.0
USDCNY,0 days 00:05:00,1643,1999,356,0.17808904452226113,0.8219109554777388,5.0
USDCNY,0 days 00:10:00,46,1999,356,0.17808904452226113,0.02301150575287644,10.0
USDCNY,0 days 00:25:00,43,1999,356,0.17808904452226113,0.021510755377688845,25.0
USDCNY,0 days 00:30:00,34,1999,356,0.17808904452226113,0.017008504252126064,30.0
USDCNY,0 days 00:15:00,33,1999,356,0.17808904452226113,0.016508254127063533,15.0
USDCNY,0 days 00:20:00,27,1999,356,0.17808904452226113,0.013506753376688344,20.0
USDCNY,0 days 00:35:00,23,1999,356,0.17808904452226113,0.01150575287643822,35.0
USDCNY,0 days 00:40:00,19,1999,356,0.17808904452226113,0.009504752376188095,40.0
USDCNY,0 days 00:50:00,16,1999,356,0.17808904452226113,0.0080040020010005,50.0
USDCNY,0 days 01:10:00,10,1999,356,0.17808904452226113,0.0050025012506253125,70.0
USDJPY,0 days 00:05:00,1998,1999,1,0.0005002501250625312,0.9994997498749375,5.0
USDJPY,2 days 00:10:00,1,1999,1,0.0005002501250625312,0.0005002501250625312,2890.0
^DJI,0 days 00:05:00,1848,1871,23,0.012292891501870658,0.9877071084981294,5.0
^DJI,0 days 17:35:00,18,1871,23,0.012292891501870658,0.009620523784072688,1055.0
^DJI,2 days 17:35:00,4,1871,23,0.012292891501870658,0.002137894174238375,3935.0
^DJI,3 days 17:35:00,1,1871,23,0.012292891501870658,0.0005344735435595938,5375.0
^FCHI,0 days 00:05:00,1980,1999,19,0.009504752376188095,0.9904952476238119,5.0
^FCHI,0 days 15:30:00,14,1999,19,0.009504752376188095,0.007003501750875438,930.0
^FCHI,2 days 15:30:00,3,1999,19,0.009504752376188095,0.0015007503751875938,3810.0
^FCHI,0 days 15:35:00,1,1999,19,0.009504752376188095,0.0005002501250625312,935.0
^FCHI,2 days 15:35:00,1,1999,19,0.009504752376188095,0.0005002501250625312,3815.0
^GSPC,0 days 00:05:00,1848,1871,23,0.012292891501870658,0.9877071084981294,5.0
^GSPC,0 days 17:35:00,18,1871,23,0.012292891501870658,0.009620523784072688,1055.0
^GSPC,2 days 17:35:00,4,1871,23,0.012292891501870658,0.002137894174238375,3935.0
^GSPC,3 days 17:35:00,1,1871,23,0.012292891501870658,0.0005344735435595938,5375.0
^IXIC,0 days 00:05:00,1848,1871,23,0.012292891501870658,0.9877071084981294,5.0
^IXIC,0 days 17:35:00,18,1871,23,0.012292891501870658,0.009620523784072688,1055.0
^IXIC,2 days 17:35:00,4,1871,23,0.012292891501870658,0.002137894174238375,3935.0
^IXIC,3 days 17:35:00,1,1871,23,0.012292891501870658,0.0005344735435595938,5375.0
^NDX,0 days 00:05:00,4276,4331,55,0.012699145693835142,0.9873008543061649,5.0
^NDX,0 days 17:35:00,41,4331,55,0.012699145693835142,0.009466635880858923,1055.0
^NDX,2 days 17:35:00,10,4331,55,0.012699145693835142,0.0023089355806972986,3935.0
^NDX,3 days 17:35:00,2,4331,55,0.012699145693835142,0.0004617871161394597,5375.0
^NDX,1 days 17:35:00,1,4331,55,0.012699145693835142,0.00023089355806972986,2495.0
^NDX,1 days 20:35:00,1,4331,55,0.012699145693835142,0.00023089355806972986,2675.0
