asset_class,asset_id,n_rows_total,n_eval,n_pred_ok,pred_ok_rate,arima_p,arima_d,arima_q,class_model_bic,corr_pred_vs_actual,trend_accuracy
crypto,BTCUSD,635,620,620,1.0,2,0,1,-2733.309980373616,0.6109310741207188,0.65
crypto,ETHUSD,635,620,620,1.0,2,0,1,-2733.309980373616,0.6012780647096834,0.7258064516129032
crypto,SOLUSD,635,620,620,1.0,2,0,1,-2733.309980373616,0.5199127005476728,0.667741935483871
forex,EURUSD,635,620,620,1.0,2,0,1,-1808.4727524403452,0.5155615989662772,0.7370967741935484
forex,USDJPY,635,620,620,1.0,2,0,1,-1808.4727524403452,0.4863172668602775,0.682258064516129
index,^DJI,591,576,576,1.0,2,0,1,-4140.068692011396,0.4533898274891898,0.7725694444444444
index,^FCHI,646,631,631,1.0,2,0,1,-4140.068692011396,0.6622831296937552,0.7242472266244057
index,^GSPC,591,576,576,1.0,2,0,1,-4140.068692011396,0.41642078964092877,0.7673611111111112
index,^IXIC,591,576,576,1.0,2,0,1,-4140.068692011396,0.4330333415171181,0.7309027777777778
index,^NDX,1411,1396,1396,1.0,2,0,1,-4140.068692011396,0.4893018103845208,0.7120343839541547
stock,AAPL,607,592,592,1.0,2,0,1,-5007.789313038912,0.5540557082720938,0.7567567567567568
stock,GOOG,607,592,592,1.0,2,0,1,-5007.789313038912,0.46258137170531194,0.7483108108108109
stock,MC.PA,634,619,619,1.0,2,0,1,-5007.789313038912,0.6253524901802432,0.678513731825525
stock,NVDA,607,592,592,1.0,2,0,1,-5007.789313038912,0.5604509770815645,0.768581081081081
