asset_id,asset_class,status,reason,n_rows_total,horizon,ema12_p,ema12_d,ema12_q,ema12_bic,ema26_p,ema26_d,ema26_q,ema26_bic,train_size,n_eval,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy
AAPL,stock,ok,,607,15,1,1,0,-776.4114737919346,1,1,0,-1304.4092726687625,364,229,229,1.0,0.5343670191555739,0.6375545851528385
BTCUSD,crypto,ok,,635,15,1,1,3,3661.185248422015,3,1,0,3110.696996191594,381,240,240,1.0,0.3928248867261087,0.6208333333333333
ETHUSD,crypto,ok,,635,15,3,1,3,1182.791695402451,2,1,0,632.9229002523178,381,240,240,1.0,0.3135359215655901,0.7375
EURUSD,forex,ok,,635,15,1,1,0,-5833.301277174514,1,1,0,-6386.733513458511,381,240,240,1.0,0.4092092953512325,0.7125
GOOG,stock,ok,,607,15,1,1,0,-444.9564005836729,1,1,0,-975.3039475602596,364,229,229,1.0,0.5974236660093591,0.6986899563318777
MC.PA,stock,ok,,634,15,1,1,0,70.98575519447994,1,1,0,-481.5883661539461,380,240,240,1.0,0.5638490860068474,0.6833333333333333
NVDA,stock,ok,,607,15,1,1,0,-505.1949797388849,1,1,0,-1034.087566132898,364,229,229,1.0,0.46951491577300347,0.6986899563318777
SOLUSD,crypto,ok,,635,15,1,1,0,-1157.8448409992236,1,1,0,-1710.6736366267485,381,240,240,1.0,0.3633475689986407,0.6416666666666667
USDJPY,forex,ok,,635,15,1,1,0,-2238.1922892529583,1,1,0,-2791.5103759225085,381,240,240,1.0,0.572998331046654,0.6916666666666667
^DJI,index,ok,,591,15,1,1,3,2788.3978481350346,1,1,3,2278.3289816100405,354,223,223,1.0,0.3583074728542352,0.7354260089686099
^FCHI,index,ok,,646,15,1,1,2,1313.9699308047889,1,1,0,753.1138357314536,387,245,245,1.0,0.5714646297635544,0.6653061224489796
^GSPC,index,ok,,591,15,1,1,2,1350.6416987794196,1,1,0,836.7901140157661,354,223,223,1.0,0.34931284545117386,0.7533632286995515
^IXIC,index,ok,,591,15,1,1,3,2395.196814710285,1,1,3,1885.163200914261,354,223,223,1.0,0.41993199988875657,0.7892376681614349
^NDX,index,ok,,1411,15,1,1,0,5766.310054593608,1,1,0,4532.150681145072,846,551,551,1.0,0.5117817130379495,0.7985480943738656
