asset_id,asset_class,status,reason,n_test,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy,model,class_cutoff_date,n_train_rows,n_test_rows
BTCUSD,crypto,ok,,123,123,1.0,0.30895237891461286,0.6016260162601627,ridge,2026-03-09 13:30:00,1437,369
ETHUSD,crypto,ok,,123,123,1.0,0.1131256763554625,0.6910569105691057,ridge,2026-03-09 13:30:00,1437,369
SOLUSD,crypto,ok,,123,123,1.0,0.1267206721842623,0.5365853658536586,ridge,2026-03-09 13:30:00,1437,369
EURUSD,forex,ok,,123,123,1.0,0.2863411880067527,0.6991869918699187,ridge,2026-03-09 13:30:00,958,246
USDJPY,forex,ok,,123,123,1.0,0.4008944398795458,0.7723577235772358,ridge,2026-03-09 13:30:00,958,246
^DJI,index,ok,,153,153,1.0,0.38175124512723835,0.7189542483660131,ridge,2026-03-02 12:45:00,2918,747
^FCHI,index,ok,,213,213,1.0,0.5929964465668326,0.6431924882629108,ridge,2026-03-02 12:45:00,2918,747
^GSPC,index,ok,,153,153,1.0,0.3354066695750052,0.7516339869281046,ridge,2026-03-02 12:45:00,2918,747
^IXIC,index,ok,,153,153,1.0,0.3665829746907497,0.7581699346405228,ridge,2026-03-02 12:45:00,2918,747
^NDX,index,ok,,75,75,1.0,0.2586782313140403,0.8533333333333334,ridge,2026-03-02 12:45:00,2918,747
AAPL,stock,ok,,136,136,1.0,0.3265513735892831,0.6985294117647058,ridge,2026-03-06 14:00:00,1849,474
GOOG,stock,ok,,136,136,1.0,0.5766390775774919,0.6838235294117647,ridge,2026-03-06 14:00:00,1849,474
MC.PA,stock,ok,,66,66,1.0,0.25880683371694346,0.8333333333333334,ridge,2026-03-06 14:00:00,1849,474
NVDA,stock,ok,,136,136,1.0,0.6366964660151384,0.6911764705882353,ridge,2026-03-06 14:00:00,1849,474
