asset_id,asset_class,status,reason,n_test,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy,model,model_backend,class_cutoff_date,n_train_rows,n_test_rows
BTCUSD,crypto,ok,,123,123,1.0,0.2866659015509413,0.34959349593495936,xgb,xgboost,2026-03-09 13:30:00,1437,369
ETHUSD,crypto,ok,,123,123,1.0,0.28656378785324377,0.6097560975609756,xgb,xgboost,2026-03-09 13:30:00,1437,369
SOLUSD,crypto,ok,,123,123,1.0,0.1274459975751172,0.5853658536585366,xgb,xgboost,2026-03-09 13:30:00,1437,369
EURUSD,forex,ok,,123,123,1.0,0.08046467520333488,0.4878048780487805,xgb,xgboost,2026-03-09 13:30:00,958,246
USDJPY,forex,ok,,123,123,1.0,0.4325768627918393,0.6666666666666666,xgb,xgboost,2026-03-09 13:30:00,958,246
^DJI,index,ok,,153,153,1.0,0.5133685113838697,0.738562091503268,xgb,xgboost,2026-03-02 12:45:00,2918,747
^FCHI,index,ok,,213,213,1.0,-0.06757840489597382,0.647887323943662,xgb,xgboost,2026-03-02 12:45:00,2918,747
^GSPC,index,ok,,153,153,1.0,0.5597593927471474,0.7647058823529411,xgb,xgboost,2026-03-02 12:45:00,2918,747
^IXIC,index,ok,,153,153,1.0,0.11068370113587689,0.8104575163398693,xgb,xgboost,2026-03-02 12:45:00,2918,747
^NDX,index,ok,,75,75,1.0,0.4664374460735319,0.9066666666666666,xgb,xgboost,2026-03-02 12:45:00,2918,747
AAPL,stock,ok,,136,136,1.0,0.34262135980422287,0.5808823529411765,xgb,xgboost,2026-03-06 14:00:00,1849,474
GOOG,stock,ok,,136,136,1.0,0.5530354525917952,0.6397058823529411,xgb,xgboost,2026-03-06 14:00:00,1849,474
MC.PA,stock,ok,,66,66,1.0,-0.10181474907686074,0.8181818181818182,xgb,xgboost,2026-03-06 14:00:00,1849,474
NVDA,stock,ok,,136,136,1.0,0.6642177395446206,0.7426470588235294,xgb,xgboost,2026-03-06 14:00:00,1849,474
