asset_id,asset_class,status,reason,n_rows_total,horizon,train_size,p,d,q,class_bic,n_eval,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy
AAPL,stock,ok,,621,15,372,1,1,3,12628.227585886596,235,235,1.0,-0.10410145089754606,0.7276595744680852
BTCUSD,crypto,ok,,649,15,389,1,1,1,9776.32438411563,246,246,1.0,-0.1800373661892715,0.7804878048780488
ETHUSD,crypto,ok,,649,15,389,1,1,1,9776.32438411563,246,246,1.0,-0.16852991261856692,0.7804878048780488
EURUSD,forex,ok,,649,15,389,1,1,1,6653.367018308091,246,246,1.0,-0.26899233667387706,0.7195121951219512
GOOG,stock,ok,,621,15,372,1,1,3,12628.227585886596,235,235,1.0,-0.06678285415137603,0.7361702127659574
MC.PA,stock,ok,,648,15,388,1,1,3,12628.227585886596,246,246,1.0,0.013077271360931562,0.7032520325203252
NVDA,stock,ok,,621,15,372,1,1,3,12628.227585886596,235,235,1.0,-0.15755779588597074,0.7574468085106383
SOLUSD,crypto,ok,,649,15,389,1,1,1,9776.32438411563,246,246,1.0,-0.20590699379249913,0.7398373983739838
USDJPY,forex,ok,,649,15,389,1,1,1,6653.367018308091,246,246,1.0,-0.11097660496684426,0.7235772357723578
^DJI,index,ok,,605,15,363,1,1,1,19811.99717941144,228,228,1.0,-0.15409731958997738,0.7631578947368421
^FCHI,index,ok,,660,15,396,1,1,1,19811.99717941144,250,250,1.0,-0.053450677510114446,0.656
^GSPC,index,ok,,605,15,363,1,1,1,19811.99717941144,228,228,1.0,-0.1998013596523425,0.7675438596491229
^IXIC,index,ok,,605,15,363,1,1,1,19811.99717941144,228,228,1.0,-0.22152466752195404,0.7324561403508771
^NDX,index,ok,,1425,15,855,1,1,1,19811.99717941144,556,556,1.0,-0.07325879188816695,0.7356115107913669
