asset_id,asset_class,status,reason,n_eval,n_pred_ok,pred_ok_rate,corr_pred_vs_actual,trend_accuracy
BTCUSD,crypto,ok,,130,130,1.0,0.007661647920133434,0.8153846153846154
ETHUSD,crypto,ok,,130,130,1.0,-0.11089415917807822,0.7769230769230769
SOLUSD,crypto,ok,,130,130,1.0,0.03704773949443042,0.8384615384615385
EURUSD,forex,ok,,130,130,1.0,-0.25054374026181525,0.7461538461538462
USDJPY,forex,ok,,130,130,1.0,0.09860484464762669,0.7692307692307693
^DJI,index,ok,,121,121,1.0,0.14242029076628965,0.7107438016528925
^FCHI,index,ok,,132,132,1.0,0.20661271832381342,0.75
^GSPC,index,ok,,121,121,1.0,0.15215785324303593,0.6859504132231405
^IXIC,index,ok,,121,121,1.0,0.03918970812856433,0.7107438016528925
^NDX,index,ok,,285,285,1.0,0.0499112208587601,0.7859649122807018
AAPL,stock,ok,,125,125,1.0,-0.2401403194958729,0.752
GOOG,stock,ok,,125,125,1.0,-0.023557780099153495,0.696
MC.PA,stock,ok,,130,130,1.0,-0.028780397551530158,0.7384615384615385
NVDA,stock,ok,,125,125,1.0,0.00231184796875227,0.752
